No.,SecID,Name,Qflow[m3/h],Qflow[m3/h],SecType,Width[mm],Height[mm],Diam[m],Equiv. Diam[m],Vel[m/s],Pvel[Pa],Length[mm],Rough,DP/L[Pa/m],DP_Fric[Pa],FITTING T,Para1,Para2,Corr,C[-],DP[Pa],FITTING S1,Para1,Para2,Para3,Corr,C[-],DP[Pa],FITTING S2,Para1,Para2,Para3,Corr,C[-],DP[Pa],FITTING S3,Para1,Para2,Para3,Corr,C[-],DP[Pa],FITTING S4,Para1,Para2,Para3,Corr,C[-],DP[Pa],DP_Total[Pa],DP_Unbal[Pa],RoomP[Pa],Pres[Pa],Psum[Pa],56,57,58,59,TreeID,TreeLevel,BranLevel,BranID,ElemID,PathInfo,cDesc
-457 ,¡¡ ¡¡ ¡¡ ¡¡ FLEXIBLE 1 of BRANCH /P-ME003-001/B9, =469784169/90755,690,690,CIRC,0,0,160,160,9.5327,54.5236,450,0.09,7.003,3.1514,,0,0,0,0,0,,0,0,0,0,0,0,SUCTION,0.5,0,0,0,0.5,27.2618,,0,0,0,0,0,0,,0,0,0,0,0,0,30.4132,0,0,-30.4132,171.3363,,,,,-1,34,4,71,16,-1033,FLEXIBLE 1 of BRANCH /P-ME003-001/B9
-456 ,¡¡ ¡¡ ¡¡ ¡¡ BEND 2 of BRANCH /P-ME003-001/B9, =469784169/95463,690,690,CIRC,0,0,160,160,9.5327,54.5236,0,0.09,0,0,,0,0,0,0,0,,90,1,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,-30.4132,140.9231,,,,,-9,33,4,71,15,-33,BEND 2 of BRANCH /P-ME003-001/B9
-455 ,¡¡ ¡¡ ¡¡ ¡¡ STRT 1 of BRANCH /P-ME003-001/B9, =469784169/94606,690,690,CIRC,0,0,160,160,9.5327,54.5236,1135,0.09,7.003,7.9484,,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,7.9484,0,0,-38.3616,140.9231,,,,,-9,32,4,71,14,-33,STRT 1 of BRANCH /P-ME003-001/B9
-454 ,¡¡ ¡¡ ¡¡ ¡¡ BEND 1 of BRANCH /P-ME003-001/B9, =469784169/90624,690,690,CIRC,0,0,160,160,9.5327,54.5236,0,0.09,0,0,,0,0,0,0,0,,90,1,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,-38.3616,132.9747,,,,,-9,31,4,71,13,-33,BEND 1 of BRANCH /P-ME003-001/B9
-453 ,¡¡ ¡¡ ¡¡ ¡¡ DAMPER 1 of BRANCH /P-ME003-901/B3, =469784169/90620,690,690,CIRC,0,0,160,160,9.5327,54.5236,200,0.09,7.003,1.4006,,0,0,0,0,0,A-15G,0,0,0,0,0.5,27.2618,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,28.6624,0,0,-67.024,132.9747,,,,,-9,30,4,71,12,-33,DAMPER 1 of BRANCH /P-ME003-901/B3
-452 ,¡¡ ¡¡ ¡¡ ¡¡ STRT 6 of BRANCH /P-ME003-001/B17, =469784169/90759,690,690,CIRC,0,0,160,160,9.5327,54.5236,931,0.09,7.003,6.5198,,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,6.5198,0,0,-73.5438,104.3123,,,,,-9,29,4,71,11,-33,STRT 6 of BRANCH /P-ME003-001/B17
-451 ,¡¡ ¡¡ ¡¡ ¡¡ BEND 4 of BRANCH /P-ME003-001/B17, =469784169/90764,690,690,CIRC,0,0,160,160,9.5327,54.5236,0,0.09,0,0,,0,0,0,0,0,,30,1,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,-73.5438,97.7924,,,,,-9,28,4,71,10,-33,BEND 4 of BRANCH /P-ME003-001/B17
-450 ,¡¡ ¡¡ ¡¡ ¡¡ STRT 5 of BRANCH /P-ME003-001/B17, =469784169/90766,690,690,CIRC,0,0,160,160,9.5327,54.5236,212,0.09,7.003,1.4846,,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,1.4846,0,0,-75.0285,97.7924,,,,,-9,27,4,71,9,-33,STRT 5 of BRANCH /P-ME003-001/B17
-449 ,¡¡ ¡¡ ¡¡ ¡¡ BEND 3 of BRANCH /P-ME003-001/B17, =469784169/90763,690,690,CIRC,0,0,160,160,9.5327,54.5236,0,0.09,0,0,,0,0,0,0,0,,30,1,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,-75.0285,96.3078,,,,,-9,26,4,71,8,-33,BEND 3 of BRANCH /P-ME003-001/B17
-448 ,¡¡ ¡¡ ¡¡ ¡¡ STRT 4 of BRANCH /P-ME003-001/B17, =469792361/37820,690,690,CIRC,0,0,160,160,9.5327,54.5236,100,0.09,7.003,0.7003,,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0.7003,0,0,-75.7288,96.3078,,,,,-9,25,4,71,7,-33,STRT 4 of BRANCH /P-ME003-001/B17
