Name,X1,X2,P1,P2,Line,Label
FLEXIBLE 1 of BRANCH /P-ME003-001/B9,-43,-44,-30.4132,0,1033,1
BEND 2 of BRANCH /P-ME003-001/B9,-42,-43,-30.4132,-30.4132,33,1
STRT 1 of BRANCH /P-ME003-001/B9,-41,-42,-38.3616,-30.4132,33,1
BEND 1 of BRANCH /P-ME003-001/B9,-40,-41,-38.3616,-38.3616,33,1
DAMPER 1 of BRANCH /P-ME003-901/B3,-39,-40,-67.024,-38.3616,33,1
STRT 6 of BRANCH /P-ME003-001/B17,-38,-39,-73.5438,-67.024,33,1
BEND 4 of BRANCH /P-ME003-001/B17,-37,-38,-73.5438,-73.5438,33,1
STRT 5 of BRANCH /P-ME003-001/B17,-36,-37,-75.0285,-73.5438,33,1
BEND 3 of BRANCH /P-ME003-001/B17,-35,-36,-75.0285,-75.0285,33,1
STRT 4 of BRANCH /P-ME003-001/B17,-34,-35,-75.7288,-75.0285,33,1
DAMPER 1 of BRANCH /P-ME003-001/B17,-33,-34,-103.971,-75.7288,33,1
STRT 3 of BRANCH /P-ME003-001/B17,-32,-33,-116.1212,-103.971,33,1
BEND 2 of BRANCH /P-ME003-001/B17,-31,-32,-116.1212,-116.1212,33,1
STRT 2 of BRANCH /P-ME003-001/B17,-30,-31,-120.7993,-116.1212,33,1
BEND 1 of BRANCH /P-ME003-001/B17,-29,-30,-120.7993,-120.7993,33,1
STRT 1 of BRANCH /P-ME003-001/B17,-28,-29,-124.9298,-120.7993,33,1
STRT (=469784169/91986),-254,-255,-7.3925,0,1001,2
STRT 3 of BRANCH /P-ME003-013/B7,-253,-254,-7.799,-7.3925,1,2
BEND 1 of BRANCH /P-ME003-013/B7,-252,-253,-7.799,-7.799,1,2
STRT 2 of BRANCH /P-ME003-013/B7,-251,-252,-11.7147,-7.799,1,2
DAMPER 1 of BRANCH /P-ME003-013/B7,-250,-251,-19.592,-11.7147,1,2
STRT 1 of BRANCH /P-ME003-013/B7,-249,-250,-20.8599,-19.592,1,2
DAMPER 1 of BRANCH /P-ME003-913/B1,-248,-249,-28.9609,-20.8599,1,2
STRT 12 of BRANCH /P-ME003-013/B1,-247,-248,-30.7659,-28.9609,1,2
BEND 5 of BRANCH /P-ME003-013/B1,-246,-247,-30.7659,-30.7659,1,2
STRT 11 of BRANCH /P-ME003-013/B1,-245,-246,-31.0792,-30.7659,1,2
BEND 4 of BRANCH /P-ME003-013/B1,-244,-245,-31.0792,-31.0792,1,2
STRT 10 of BRANCH /P-ME003-013/B1,-243,-244,-31.825,-31.0792,1,2
BEND 3 of BRANCH /P-ME003-013/B1,-242,-243,-31.825,-31.825,1,2
STRT 9 of BRANCH /P-ME003-013/B1,-241,-242,-32.3621,-31.825,1,2
BEND 2 of BRANCH /P-ME003-013/B1,-240,-241,-32.3621,-32.3621,1,2
STRT 8 of BRANCH /P-ME003-013/B1,-239,-240,-36.054,-32.3621,1,2
STRT 7 of BRANCH /P-ME003-013/B1,-238,-239,-39.444,-36.054,1,2
BEND 1 of BRANCH /P-ME003-013/B1,-237,-238,-39.444,-39.444,1,2
STRT 6 of BRANCH /P-ME003-013/B1,-236,-237,-41.7822,-39.444,1,2
STRT 5 of BRANCH /P-ME003-013/B1,-235,-236,-49.9866,-41.7822,1,2
STRT 4 of BRANCH /P-ME003-013/B1,-225,-235,-51.1091,-49.9866,1,2
FLEXIBLE 1 of BRANCH /P-ME003-013/B6,-233,-234,-2.4017,0,1003,3
STRT 4 of BRANCH /P-ME003-013/B6,-232,-233,-2.4314,-2.4017,3,3
STRT 3 of BRANCH /P-ME003-013/B6,-229,-232,-2.5674,-2.4314,3,3
FLEXIBLE 1 of BRANCH /P-ME003-013/B5,-230,-231,-2.4017,0,1002,4
STRT 1 of BRANCH /P-ME003-013/B5,-229,-230,-2.6051,-2.4017,2,4
TEE 1 of BRANCH /P-ME003-013/B6,-229,-229,-2.6051,-2.5674,-8888,5
TEE 1 of BRANCH /P-ME003-013/B6,-228,-229,-2.9863,-2.6051,2,6
STRT 2 of BRANCH /P-ME003-013/B6,-227,-228,-8.3185,-2.9863,2,6
BEND 1 of BRANCH /P-ME003-013/B6,-226,-227,-8.3185,-8.3185,2,6
STRT 1 of BRANCH /P-ME003-013/B6,-225,-226,-8.903,-8.3185,2,6
TEE 1 of BRANCH /P-ME003-013/B1,-225,-225,-8.903,-51.1091,-8888,7
TEE 1 of BRANCH /P-ME003-013/B1,-224,-225,-52.3357,-51.1091,1,8
STRT 3 of BRANCH /P-ME003-013/B1,-223,-224,-56.9352,-52.3357,1,8
STRT 2 of BRANCH /P-ME003-013/B1,-222,-223,-90.6655,-56.9352,1,8
STRT 1 of BRANCH /P-ME003-013/B1,-221,-222,-95.6944,-90.6655,1,8
STRT 4 of BRANCH /P-ME003-001/B12,-220,-221,-169.4717,-95.6944,1,8
